ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,951846,954,,954,Fiji,0.00,3.80,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:34Z,0,0,0,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,0,,0,,
1,951846,30799,Caleb Muntz,954,Fiji,0.00,3.80,2,1,50,34,74,60,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,24,36,27,0,2026-09-19T10:06:34Z,1,0,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,0,,0,,
2,951846,23697,Jack Cornelsen,3000,Japan,3.80,3.80,6,1,27,8,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:38Z,1,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
3,951846,23697,Jack Cornelsen,3000,Japan,5.64,14.96,8,1,27,9,0,0,24,Maul,0,,401,Won Outright,0,,0,,664,Close Right Open Movement Maul,0,,0,,0,,0,,0,,3,3,1,10,2026-09-19T10:06:40Z,1,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,25158,Naoto Saito,3000,Japan,5
4,951846,0,,3000,Japan,13.44,13.44,16,1,30,5,0,0,20,Ref Review,245,Advantage,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:38Z,1,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
5,951846,25158,Naoto Saito,3000,Japan,14.96,14.96,17,1,30,6,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:49Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
6,951846,25158,Naoto Saito,3000,Japan,14.96,14.96,17,1,30,6,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:49Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
7,951846,25158,Naoto Saito,3000,Japan,15.00,16.08,17,1,29,7,27,13,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,6,7,3,0,2026-09-19T10:06:49Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,24957,Harry Hockings,3000,Japan,8
8,951846,24957,Harry Hockings,3000,Japan,16.08,16.08,18,1,27,13,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:50Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
9,951846,24957,Harry Hockings,3000,Japan,16.08,16.08,18,1,27,13,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:50Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
10,951846,24957,Harry Hockings,3000,Japan,16.08,20.84,18,1,27,13,31,16,1,Carry,101,One Out Drive,107,Tackled Dominant,111,Failed Gain line,460,Dominant Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,2,0,0,2026-09-19T10:06:50Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,20730,Mesake Doge,954,Fiji,11
11,951846,20730,Mesake Doge,954,Fiji,16.24,16.24,19,1,71,54,0,0,2,Tackle,144,Line,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:50Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,03,3,Tighthead Prop,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,24957,Harry Hockings,3000,Japan,10
12,951846,24957,Harry Hockings,3000,Japan,19.56,19.56,22,1,29,14,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:53Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
13,951846,24957,Harry Hockings,3000,Japan,19.56,20.84,22,1,29,14,31,16,1,Carry,103,Other Carry,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,1,2,1,1,2026-09-19T10:06:53Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,28186,Temo Mayanavanua,954,Fiji,14
14,951846,28186,Temo Mayanavanua,954,Fiji,20.20,20.20,23,1,70,54,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:54Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,24957,Harry Hockings,3000,Japan,13
15,951846,21369,Peni Ravai,954,Fiji,20.36,20.36,23,1,69,52,0,0,7,Penalty Conceded,230,Other Offence,236,No Action,215,Defence,233,Full Penalty,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:54Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,01,1,Loosehead Prop,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,0,,0,,
16,951846,24957,Harry Hockings,3000,Japan,20.84,23.64,23,1,31,16,0,0,23,Ruck,0,,401,Won Outright,548,Over Previous Gainline,554,2-3 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,23,2026-09-19T10:06:55Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,25158,Naoto Saito,3000,Japan,22
17,951846,0,,954,Fiji,21.48,21.48,24,1,71,52,0,0,20,Ref Review,245,Advantage,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:53Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,0,,0,,
18,951846,34483,Mamoru Harada,3000,Japan,21.68,21.68,24,1,29,16,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:56Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,02,2,Hooker,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
19,951846,28186,Temo Mayanavanua,954,Fiji,22.84,22.84,25,1,71,52,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,2,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:57Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,0,,0,,
20,951846,30962,Kanji Shimokawa,3000,Japan,23.20,23.20,26,1,29,16,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:57Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,07,7,Openside Flanker,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
21,951846,37874,Shuhei Takeuchi,3000,Japan,23.56,23.56,26,1,29,16,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:57Z,2,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,03,3,Tighthead Prop,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
22,951846,25158,Naoto Saito,3000,Japan,23.64,23.64,26,1,30,16,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:58Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
23,951846,25158,Naoto Saito,3000,Japan,23.64,23.64,26,1,30,16,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:58Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
24,951846,25158,Naoto Saito,3000,Japan,24.32,25.32,27,1,30,17,21,28,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,11,14,9,0,2026-09-19T10:06:58Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,61903,Ryunosuke Ito,3000,Japan,25
25,951846,61903,Ryunosuke Ito,3000,Japan,25.32,25.32,28,1,21,28,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:59Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
26,951846,0,,3000,Japan,25.32,25.32,28,1,21,28,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,0,0,0,2026-09-19T10:06:59Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
27,951846,61903,Ryunosuke Ito,3000,Japan,25.32,25.32,28,1,21,28,0,0,47,Playmaker Options,656,First Receiver,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:59Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
28,951846,61903,Ryunosuke Ito,3000,Japan,25.36,26.80,28,1,22,29,20,35,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,701,1st Receiver,0,,0,,0,,0,,0,,6,6,2,0,2026-09-19T10:06:59Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,61922,Yuya Hirose,3000,Japan,29
29,951846,61922,Yuya Hirose,3000,Japan,26.80,26.80,29,1,20,35,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:07:01Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
30,951846,61922,Yuya Hirose,3000,Japan,26.80,26.80,29,1,20,35,0,0,47,Playmaker Options,657,Second Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:07:01Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
31,951846,61922,Yuya Hirose,3000,Japan,26.80,27.24,29,1,20,35,28,38,1,Carry,103,Other Carry,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,501,1 Tacklers Committed,702,2nd Receiver,0,,0,,0,,0,,0,8,3,3,2026-09-19T10:07:01Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,59793,Mesake Vocevoce,954,Fiji,32
32,951846,59793,Mesake Vocevoce,954,Fiji,26.96,26.96,29,1,75,32,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:07:01Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,61922,Yuya Hirose,3000,Japan,31
33,951846,61922,Yuya Hirose,3000,Japan,27.24,30.44,30,1,28,38,0,0,23,Ruck,0,,452,Unplayable,549,Behind Previous Gainline,559,N/A Ruck Speed,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:07:01Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
34,951846,20730,Mesake Doge,954,Fiji,27.80,27.80,30,1,72,30,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:06:58Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,03,3,Tighthead Prop,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,0,,0,,
35,951846,26283,Ben Gunter,3000,Japan,28.72,28.72,31,1,28,38,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:07:03Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,06,6,Blindside Flanker,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
36,951846,34647,Elia Canakaivata,954,Fiji,30.08,30.08,32,1,72,30,0,0,43,Ruck OOA,800,Other Defensive Arrival,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,3,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:07:04Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,08,8,Number 8,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,0,,0,,
37,951846,0,,954,Fiji,0.00,30.44,33,1,50,34,73,31,26,Sequences,307,50m Restart,316,Pen Won,0,,0,,0,,0,,0,,0,,0,,0,,23,0,0,0,2026-09-19T10:06:34Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,Y,L,0,,0,,
38,951846,0,,3000,Japan,3.80,30.44,33,1,27,8,27,37,15,Possession,307,50m Restart,316,Pen Won,0,,684,Fails to enter into Opposition 22,1095,Fails to enter into Opposition 50,1098,Fails to enter into Opposition 10,1101,Fails to enter into Opposition 5,0,,0,,0,,0,0,0,0,2026-09-19T10:06:38Z,3,1,1,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
39,951846,61903,Ryunosuke Ito,3000,Japan,51.68,54.20,54,1,31,16,60,0,4,Kick,347,Touch Kick,193,Kick in Touch (Full),148,Penalty Kick,0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,29,33,0,0,2026-09-19T10:07:26Z,1,1,2,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
40,951846,0,,3000,Japan,51.68,54.20,57,1,31,16,60,0,26,Sequences,780,Penalty Kick Touch,415,Own Lineout,0,,0,,0,,0,,0,,0,,0,,0,,29,0,0,0,2026-09-19T10:07:26Z,1,1,2,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
41,951846,34483,Mamoru Harada,3000,Japan,70.68,71.56,113,1,60,0,60,12,6,Lineout Throw,372,Throw Middle,376,Won Clean Catch,207,Catch and Drive,0,7+1,676,N/A Movement Lineout,732,7 Players,725,Forward at Halfback (+1),0,,0,,0,,12,0,0,0,2026-09-19T10:07:45Z,1,2,3,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,02,2,Hooker,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,23697,Jack Cornelsen,3000,Japan,42
42,951846,23697,Jack Cornelsen,3000,Japan,71.56,71.56,114,1,60,12,0,0,27,Lineout Take,387,Lineout Win Middle,376,Won Clean,207,Catch and Drive,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:07:45Z,1,2,3,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,34483,Mamoru Harada,3000,Japan,41
43,951846,23697,Jack Cornelsen,3000,Japan,72.36,82.76,115,1,60,12,0,0,24,Maul,0,,401,Won Outright,0,,0,,662,Mid Right Open Movement Maul,0,,0,,0,,0,,0,,7,7,3,11,2026-09-19T10:07:46Z,1,2,3,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,25158,Naoto Saito,3000,Japan,44
44,951846,25158,Naoto Saito,3000,Japan,82.76,82.76,125,1,67,15,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-09-19T10:07:57Z,1,2,3,0,0,954,Fiji,3000,Japan,19/09/2026,19:05,12,10,15,20,0,0,69,Prince Chichibu Memorial Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001836,Morgan White,1000602,Matthew Rodden,219,Pacific Nations Cup,N,W,0,,0,,
